image,plate_text
images/train/img_47.jpg,076NUA03
images/train/img_46.jpg,212ADB15
images/train/img_91.jpg,811ALL07
images/train/img_17.jpg,222TOF02
images/train/img_68.jpg,673AOE17
images/train/img_54.jpg,812BEM02
images/train/img_10.jpg,544AEO03
images/train/img_72.jpg,707BBB14
images/train/img_22.jpg,787AEJ15
images/train/img_8.jpg,492BIG05
images/train/img_75.jpg,121BBI02
images/train/img_18.jpg,291ABT04
images/train/img_59.jpg,831MHA10
images/train/img_6.jpg,301ACI20
images/train/img_74.jpg,747ARK09
images/train/img_5.jpg,056AGA02
images/train/img_52.jpg,826AEI18
images/train/img_92.jpg,385AEU10
images/train/img_78.jpg,583BCC05
images/train/img_42.jpg,455FUA06
images/train/img_36.jpg,675AGK06
images/train/img_28.jpg,777ZZQ01
images/train/img_38.jpg,418ANO01
images/train/img_96.jpg,189AXK02
images/train/img_81.jpg,822AEQ09
images/train/img_53.jpg,701LOG07
images/train/img_84.jpg,533APM05
images/train/img_32.jpg,913AHN01
images/train/img_88.jpg,066APG01
images/train/img_39.jpg,075ALV04
images/train/img_16.jpg,551AII12
images/train/img_51.jpg,421ADX07
images/train/img_62.jpg,390AGY01
images/train/img_66.jpg,962AFB15
images/train/img_76.jpg,204AZT02
images/train/img_49.jpg,544BSM02
images/train/img_98.jpg,579ALG16
images/train/img_56.jpg,527ACG19
images/train/img_86.jpg,074BFX13
images/train/img_2.jpg,285AFU18
images/train/img_41.jpg,909ADS13
images/train/img_3.jpg,654AQF17
images/train/img_44.jpg,737NRB05
images/train/img_45.jpg,533APM05
images/train/img_25.jpg,258AFN04
images/train/img_69.jpg,138AFH15
images/train/img_64.jpg,725APE02
images/train/img_63.jpg,636IP03
images/train/img_15.jpg,842AAL15
images/train/img_4.jpg,290BRU02
images/train/img_99.jpg,597ALY01
images/train/img_50.jpg,673ATI09
images/train/img_100.jpg,101AIC10
images/train/img_55.jpg,367AVK02
images/train/img_23.jpg,879AEZ15
images/train/img_43.jpg,341AOM02
images/train/img_61.jpg,989AEF19
images/train/img_70.jpg,010OHO01
images/train/img_29.jpg,069AGN03
images/train/img_65.jpg,962AFB15
images/train/img_30.jpg,269ACZ17
images/train/img_13.jpg,888ASX08
images/train/img_14.jpg,737AS10
images/train/img_7.jpg,239ANH09
images/train/img_83.jpg,020TUR13
images/train/img_26.jpg,101ARL09
images/train/img_80.jpg,431ADE07
images/train/img_48.jpg,195AXD02
images/train/img_90.jpg,029ADU15
images/train/img_27.jpg,091AGO15
images/val/img_1.jpg,063AGV14
images/val/img_95.jpg,081AHJ07
images/val/img_60.jpg,817AGQ14
images/val/img_93.jpg,373AUI17
images/val/img_57.jpg,343AIR02
images/val/img_9.jpg,762AFO07
images/val/img_31.jpg,F655409
images/val/img_73.jpg,679ASZ09
images/val/img_85.jpg,595ABM18
images/val/img_79.jpg,077JDO14
images/val/img_67.jpg,033OSS09
images/val/img_35.jpg,979BTA01
images/val/img_33.jpg,666FAS10
images/val/img_89.jpg,578ATH02
images/val/img_97.jpg,717BHA14
images/val/img_12.jpg,999ZLO16
images/val/img_58.jpg,636AMB17
images/val/img_77.jpg,555MCB02
images/val/img_19.jpg,018BBE05
images/val/img_71.jpg,604AEC15
images/test/img_87.jpg,234ARD02
images/test/img_20.jpg,931WAZ05
images/test/img_24.jpg,675BME05
images/test/img_34.jpg,213AFU15
images/test/img_37.jpg,659AWJ09
images/test/img_40.jpg,302ABP07
images/test/img_94.jpg,105AYC05
images/test/img_11.jpg,760AKJ03
images/test/img_21.jpg,156CDA07
images/test/img_82.jpg,323BIP05
images/test/test_img_1.jpg,828ARB09
images/test/test_img_10.jpg,491AEO19
images/test/test_img_11.jpg,798BII05
images/test/test_img_12.jpg,367BBS05
images/test/test_img_13.jpg,322BYA02
images/test/test_img_14.jpg,147AEE06
images/test/test_img_15.jpg,694PMB05
images/test/test_img_2.jpg,401AGO15
images/test/test_img_3.jpg,771AFM18
images/test/test_img_4.jpg,146ADZ12
images/test/test_img_5.jpg,688ACJ15
images/test/test_img_6.jpg,352AYQ13
images/test/test_img_7.webp,308BAZ10
images/test/test_img_8.jpg,757MEA01
images/test/test_img_9.jpg,525OXA12
